IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
4.219.15.140,8443,443,true,CPH,Europe,Copenhagen,219,11.56
4.219.15.140,2053,443,true,CPH,Europe,Copenhagen,185,11.43
20.169.80.29,443,443,true,LAX,North America,Los Angeles,223,11.20
4.242.220.94,8080,443,true,SJC,North America,San Jose,257,11.20
4.221.60.243,8443,443,true,JNB,Africa,Johannesburg,184,10.89
20.217.216.51,2053,443,true,VIE,Europe,Vienna,303,10.79
4.231.122.2,443,443,true,AMS,Europe,Amsterdam,345,10.67
4.255.56.137,443,443,true,IAD,North America,Ashburn,249,10.57
20.33.62.19,2083,443,true,LHR,Europe,London,177,10.54
4.221.60.243,2053,443,true,JNB,Africa,Johannesburg,200,10.47
20.33.30.36,2083,443,true,LAX,North America,Los Angeles,284,10.07
20.221.32.145,443,443,true,ORD,North America,Chicago,308,9.90
48.217.34.120,443,443,true,IAD,North America,Ashburn,352,9.38
20.127.201.36,443,443,true,IAD,North America,Ashburn,284,9.17
172.214.176.68,8443,443,true,ORD,North America,Chicago,304,8.81
4.255.56.138,443,443,true,IAD,North America,Ashburn,555,8.69
20.84.117.28,443,443,true,IAD,North America,Ashburn,315,8.66
158.23.81.224,2053,443,true,DFW,North America,Dallas,321,8.64
172.214.176.68,2053,443,true,ORD,North America,Chicago,288,8.59
74.249.233.213,443,443,true,ORD,North America,Chicago,237,8.58
158.23.81.224,8443,443,true,DFW,North America,Dallas,289,8.47
20.25.205.37,2053,443,true,ORD,North America,Chicago,665,8.42
172.191.74.198,443,443,true,IAD,North America,Ashburn,453,8.39
20.151.60.161,8443,443,true,YYZ,North America,Toronto,278,8.33
13.68.186.91,443,443,true,IAD,North America,Ashburn,424,8.32
20.220.29.122,8443,443,true,YYZ,North America,Toronto,251,8.17
20.220.29.122,2053,443,true,YYZ,North America,Toronto,437,8.14
40.123.42.160,8443,443,true,IAD,North America,Ashburn,341,8.11
104.46.101.90,8443,443,true,IAD,North America,Ashburn,312,8.10
20.62.202.159,443,443,true,IAD,North America,Ashburn,265,7.86
20.109.23.42,443,443,true,IAD,North America,Ashburn,500,7.60
40.123.41.147,8443,443,true,IAD,North America,Ashburn,473,7.59
137.116.91.147,8443,443,true,IAD,North America,Ashburn,378,7.57
20.228.249.211,2053,443,true,IAD,North America,Ashburn,438,7.54
20.228.249.211,8443,443,true,IAD,North America,Ashburn,403,7.44
4.248.47.209,8443,443,true,YUL,North America,Montréal,224,7.40
20.151.238.192,8443,443,true,YYZ,North America,Toronto,416,7.34
40.123.47.252,8443,443,true,IAD,North America,Ashburn,472,7.29
4.172.225.82,8443,443,true,YYZ,North America,Toronto,338,7.18
4.172.225.98,8443,443,true,YYZ,North America,Toronto,337,7.17
104.46.111.142,8443,443,true,IAD,North America,Ashburn,469,7.14
172.200.2.241,443,443,true,IAD,North America,Ashburn,224,7.03
40.123.47.225,8443,443,true,IAD,North America,Ashburn,420,6.93
172.174.249.255,443,443,true,IAD,North America,Ashburn,230,6.92
172.212.108.47,443,443,true,IAD,North America,Ashburn,489,6.88
20.246.127.166,443,443,true,IAD,North America,Ashburn,350,6.70
172.177.248.69,8443,443,true,IAD,North America,Ashburn,412,6.52
172.208.44.21,443,443,true,IAD,North America,Ashburn,293,6.48
20.151.63.165,8443,443,true,YYZ,North America,Toronto,383,6.13
4.152.146.110,443,443,true,IAD,North America,Ashburn,311,5.99
20.74.223.241,443,443,true,MCI,North America,Kansas City,575,3.72
20.74.223.241,8080,443,true,MCI,North America,Kansas City,523,3.69
191.235.86.71,2053,443,true,GRU,South America,São Paulo,507,3.67
172.201.76.19,443,443,true,AMS,Europe,Amsterdam,435,0.60
20.220.204.217,443,443,true,YYZ,North America,Toronto,478,0.08
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,110,0.06
137.116.251.154,80,443,false,DUB,Europe,Dublin,162,0.02
52.226.76.91,80,443,false,IAD,North America,Ashburn,221,0.02
13.90.157.110,80,443,false,IAD,North America,Ashburn,222,0.02
20.48.5.180,80,80,false,NRT,Asia Pacific,Tokyo,132,0.00
40.66.63.160,80,80,false,CDG,Europe,Paris,146,0.00
13.95.193.125,80,443,false,AMS,Europe,Amsterdam,155,0.00
51.141.162.228,80,80,false,SEA,North America,Seattle,169,0.00
51.140.191.188,2086,2086,false,LHR,Europe,London,187,0.00
104.40.244.228,80,80,false,AMS,Europe,Amsterdam,215,0.00
51.140.44.206,2086,2086,false,LHR,Europe,London,221,0.00
51.143.162.160,80,80,false,LHR,Europe,London,222,0.00
4.255.56.137,80,80,false,IAD,North America,Ashburn,225,0.00
20.58.24.221,2086,2086,false,LHR,Europe,London,225,0.00
51.145.10.26,80,8080,false,LHR,Europe,London,227,0.00
172.179.181.196,80,80,false,SEA,North America,Seattle,227,0.00
4.255.56.138,80,80,false,IAD,North America,Ashburn,227,0.00
20.119.73.200,80,80,false,IAD,North America,Ashburn,229,0.00
172.171.174.174,80,80,false,IAD,North America,Ashburn,236,0.00
172.171.174.174,443,80,false,IAD,North America,Ashburn,236,0.00
172.191.74.198,8080,80,false,IAD,North America,Ashburn,256,0.00
172.174.174.103,80,80,false,IAD,North America,Ashburn,263,0.00
51.140.154.44,2086,2086,false,LHR,Europe,London,268,0.00
20.185.230.160,80,80,false,IAD,North America,Ashburn,284,0.00
172.174.249.255,80,80,false,IAD,North America,Ashburn,389,0.00
20.84.65.154,80,80,false,IAD,North America,Ashburn,799,0.00
